nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127159798864805991	G42沪蓉高速	7637	41000	0	LINESTRING(111.846260 30.777614,111.845659 30.777533,111.840820 30.776900,111.838948 30.776648,111.836196 30.776208,111.834008 30.775768,111.832682 30.775462,111.831706 30.775221,111.830773 30.774974,111.829169 30.774513,111.827522 30.773987,111.826299 30.773574,111.824593 30.772946,111.823992 30.772705,111.823059 30.772330,111.820961 30.771407,111.818848 30.770393,111.818022 30.769991,111.816123 30.769122,111.813918 30.768178,111.812577 30.767625,111.811643 30.767266,111.810495 30.766836,111.809390 30.766445,111.806992 30.765635,111.805297 30.765114,111.803130 30.764503,111.802095 30.764235,111.800233 30.763779,111.798404 30.763366,111.797181 30.763108,111.796875 30.763049,111.794466 30.762604,111.791473 30.762153,111.790427 30.762014,111.788136 30.761762,111.787691 30.761719,111.786093 30.761585,111.784483 30.761477,111.781999 30.761359,111.780213 30.761311,111.778234 30.761311,111.776179 30.761343,111.774902 30.761397,111.773647 30.761456,111.771668 30.761585,111.770085 30.761719,111.769795 30.761746)	2
5127156839632338957	G42沪蓉高速	301	41000	0	LINESTRING(111.748547 30.761751,111.746230 30.761933,111.745409 30.761971)	2
5127156839632339001	G42沪蓉高速	20	41000	0	LINESTRING(111.737292 30.761815,111.737078 30.761794)	2
5127159798864805908	G42沪蓉高速	216	41000	0	LINESTRING(111.852145 30.778413,111.851399 30.778295,111.849913 30.778096)	2
5127158261266513968	G42沪蓉高速	342	41000	0	LINESTRING(111.670344 30.750362,111.668612 30.750362,111.666772 30.750287)	2
5127158080877887490	王畈高架桥	416	41000	3	LINESTRING(111.581563 30.739585,111.581011 30.739413,111.578999 30.738700,111.577545 30.738164)	2
5127158244086644752	G42沪蓉高速	52	41000	0	LINESTRING(111.631184 30.747755,111.630659 30.747616)	2
5127158248381612045	焦河中桥	62	41000	3	LINESTRING(111.645749 30.749831,111.646403 30.749858)	0
5127158248381612049	严河中桥	61	41000	3	LINESTRING(111.650662 30.749965,111.650024 30.749981)	2
5127158256971546626	G42沪蓉高速	3075	41000	0	LINESTRING(111.706924 30.752240,111.708963 30.752884,111.708984 30.752889,111.709591 30.753098,111.711119 30.753661,111.713153 30.754455,111.714343 30.754965,111.715497 30.755480,111.718388 30.756837,111.719381 30.757277,111.720126 30.757588,111.721473 30.758119,111.723559 30.758865,111.724525 30.759176,111.726231 30.759702,111.727518 30.760045,111.728972 30.760399,111.730474 30.760726,111.730957 30.760823,111.731274 30.760887,111.732250 30.761070,111.733435 30.761257,111.734642 30.761429,111.735377 30.761520,111.736906 30.761681)	0
5127158256971546629	G42沪蓉高速	202	41000	0	LINESTRING(111.702558 30.751156,111.702257 30.751086,111.700793 30.750765,111.700637 30.750732,111.700509 30.750706)	2
5127159798864805907	G42沪蓉高速	215	41000	0	LINESTRING(111.849945 30.777994,111.851431 30.778198,111.852171 30.778311)	0
5127158055108083726	G42沪蓉高速	525	41000	0	LINESTRING(111.597582 30.742632,111.596541 30.742477,111.595532 30.742353,111.593129 30.742090,111.592147 30.741962)	2
5127158244086644751	G42沪蓉高速	6	41000	0	LINESTRING(111.630659 30.747616,111.630599 30.747605)	2
5127159777389969424	G42沪蓉高速	29	41000	0	LINESTRING(111.881526 30.790038,111.881762 30.790209)	0
5127159798864805932	G42沪蓉高速	59	41000	0	LINESTRING(111.846641 30.777565,111.847258 30.777646)	0
5127158067992985606	G42沪蓉高速	403	41000	0	LINESTRING(111.573812 30.736447,111.575378 30.737160,111.577148 30.737895,111.577583 30.738067)	0
